"","lat","lon","species"
"496",35.269578,26.234006,"Boops boops"
"497",35.200239,26.292069,"Boops boops"
"498",36.00351,-5.605055,"Boops boops"
"499",36.004153,-5.605742,"Boops boops"
"500",39.69867,-31.07302,"Boops boops"
"501",39.71825,-31.15581,"Boops boops"
"502",39.15,-0.22,"Boops boops"
"503",39.4,-0.27,"Boops boops"
"504",39.70988,-31.13782,"Boops boops"
"505",39.39,-0.3,"Boops boops"
"506",38.99,-0.14,"Boops boops"
"514",39.18,-0.21,"Boops boops"
"519",35.416314,25.021422,"Boops boops"
"520",43.48112,3.80311,"Boops boops"
"527",42.4839,3.1321,"Boops boops"
"529",42.4906,3.1335,"Boops boops"
"530",40.6981,13.9185,"Boops boops"
"531",40.6938,13.8921,"Boops boops"
"533",36.314114,22.998403,"Boops boops"
"534",37.657603,25.062469,"Boops boops"
"537",34.933292,24.980831,"Boops boops"
"538",36.158939,22.947928,"Boops boops"
"539",37.545153,25.148175,"Boops boops"
"540",38.69,0.14,"Boops boops"
"541",37.612867,25.043025,"Boops boops"
"542",35.225406,25.732489,"Boops boops"
"548",35.401542,25.027633,"Boops boops"
"550",36.254619,22.92195,"Boops boops"
"551",37.569345,25.108852,"Boops boops"
"555",36.926783,21.672422,"Boops boops"
"556",35.226661,25.733825,"Boops boops"
"557",43.66495,-1.4025,"Boops boops"
"558",36.942044,21.689122,"Boops boops"
"559",36.964006,21.660297,"Boops boops"
"566",28.401,-16.3248,"Boops boops"
"567",28.4215,-16.553,"Boops boops"
"568",27.6465,-18,"Boops boops"
"569",27.7993,-17.8888,"Boops boops"
"572",28.4221,-16.5535,"Boops boops"
"573",28.4194,-16.5304,"Boops boops"
"585",28.5085,-16.1811,"Boops boops"
"587",28.1927,-16.4223,"Boops boops"
"588",28.1644,-16.4289,"Boops boops"
"590",37.07844,-25.10719,"Boops boops"
"591",39.06797,-27.95076,"Boops boops"
"592",38.79171,-27.42892,"Boops boops"
"593",39.06788,-27.96232,"Boops boops"
"594",38.69751,-28.06658,"Boops boops"
"599",0.162833,6.708167,"Boops boops"
"609",35.0738,32.3335,"Boops boops"
"610",43.28507,5.03193,"Boops boops"
"614",45.142,-1.43,"Boops boops"
"617",38.62077,-28.08267,"Boops boops"
"619",36.8506,28.2556,"Boops boops"
"630",39.44,-0.29,"Boops boops"
"631",38.02,0.31,"Boops boops"
"632",40.34,0.79,"Boops boops"
"633",40.34,0.53,"Boops boops"
"634",39.88,0.48,"Boops boops"
"636",39.72,0.66,"Boops boops"
"637",40.01,0.86,"Boops boops"
"638",39.42,0.008,"Boops boops"
"639",38.63,0.26,"Boops boops"
"640",39.47,0.03,"Boops boops"
"641",39.29,0.02,"Boops boops"
"642",38.7,1.05,"Boops boops"
"643",37.87,0.34,"Boops boops"
"644",38.48,0.11,"Boops boops"
"645",38.71,0.33,"Boops boops"
"647",38.86,0.34,"Boops boops"
"648",40.03,0.55,"Boops boops"
"649",40.53,1.02,"Boops boops"
"650",40.31,0.94,"Boops boops"
"652",38.28,0.37,"Boops boops"
"653",38.26,0.22,"Boops boops"
"654",38.58,0.49,"Boops boops"
"655",40.29,1.11,"Boops boops"
"656",37.92,0.45,"Boops boops"
"657",38.45,0.24,"Boops boops"
"658",38.66,0.38,"Boops boops"
"659",38.99,0.17,"Boops boops"
"660",38.16,0.15,"Boops boops"
"661",39.87,0.32,"Boops boops"
"662",39.37,0.09,"Boops boops"
"663",38.5,-0.09,"Boops boops"
"664",38.56,-0.05,"Boops boops"
"665",32.228167,34.7485,"Boops boops"
"666",37.98,0.48,"Boops boops"
"667",40.51,0.96,"Boops boops"
"669",38.59,-0.009,"Boops boops"
"671",38.06,-0.55,"Boops boops"
"672",38.77,0.18,"Boops boops"
"673",37.85426,-25.46829,"Boops boops"
"674",38.86,0.18,"Boops boops"
"675",37.96,-0.32,"Boops boops"
"676",38.79248,-27.06045,"Boops boops"
"677",38.59,-0.07,"Boops boops"
"678",38.59,0.07,"Boops boops"
"680",37.96,-0.44,"Boops boops"
"682",38.05,-0.32,"Boops boops"
"683",38.5,-0.08,"Boops boops"
"684",38.15,-0.43,"Boops boops"
"686",38.33,-0.43,"Boops boops"
"687",37.87,-0.33,"Boops boops"
"690",38.68,0.07,"Boops boops"
"691",37.97,-0.67,"Boops boops"
"692",39.11259,-28.00341,"Boops boops"
"694",39.02311,-27.92706,"Boops boops"
"695",38.14,-0.32,"Boops boops"
"696",38.05,-0.44,"Boops boops"
"699",37.88,-0.67,"Boops boops"
"700",38.86,0.29,"Boops boops"
"701",38.74227,-27.39411,"Boops boops"
"702",38.74744,-27.02014,"Boops boops"
"703",38.86,-0.06,"Boops boops"
"705",37.97,-0.55,"Boops boops"
"706",38.86,0.06,"Boops boops"
